northern_virginia,sao_paulo,frankfurt,seoul,sidney,media,minimo
118,178,92,161,199,149.6,92.0
247,257,883,423,213,404.6,213.0
107,114,89,144,163,123.4,89.0
114,169,86,151,214,146.8,86.0
98,158,95,166,197,142.8,95.0
121,469,94,168,208,212.0,94.0
245,287,242,137,209,224.0,137.0
81,99,69,119,141,101.8,69.0
144,154,124,183,201,161.2,124.0
131,142,124,176,195,153.6,124.0
140,190,95,260,238,184.6,95.0
171,189,162,201,209,186.4,162.0
62,91,70,127,142,98.4,62.0
393,418,364,329,359,372.6,329.0
119,186,88,183,224,160.0,88.0
161,175,158,207,208,181.8,158.0
113,172,89,183,221,155.6,89.0
312,317,295,349,365,327.6,295.0
96,131,94,161,174,131.2,94.0
222,100,86,123,144,135.0,86.0
49,94,75,131,141,98.0,49.0
220,262,224,117,191,202.8,117.0
